GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021900007,1610612748,MIA,Miami,202710,,,NWT - Not With Team,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900007,1610612763,MEM,Memphis,203109,,F,,30.0,3,11,2,9,5,6,2,3,5,2,1,0,1,1,13,0
0021900007,1610612763,MEM,Memphis,1628991,,F,,29.0,5,12,0,6,7,9,1,2,3,0,1,2,3,5,17,0
0021900007,1610612763,MEM,Memphis,202685,,C,,16.0,3,7,0,2,1,2,0,1,1,1,1,1,3,5,7,0
0021900007,1610612763,MEM,Memphis,1628415,,G,,18.0,3,7,1,2,0,0,0,5,5,1,1,1,2,5,7,0
0021900007,1610612763,MEM,Memphis,1629630,,G,,25.0,6,12,0,1,2,4,0,4,4,4,1,1,6,4,14,0
0021900007,1610612763,MEM,Memphis,1629634,,,,23.0,3,6,1,1,1,1,2,5,7,1,0,1,0,1,8,0
0021900007,1610612763,MEM,Memphis,1626145,,,,24.0,6,12,0,1,3,5,0,1,1,7,2,0,2,4,15,0
0021900007,1610612763,MEM,Memphis,1629741,,,,24.0,4,8,0,3,1,1,0,2,2,2,0,0,3,1,9,0
0021900007,1610612763,MEM,Memphis,1628960,,,,20.0,2,6,1,5,0,0,0,1,1,2,0,0,2,3,5,0
0021900007,1610612763,MEM,Memphis,203937,,,,20.0,2,4,0,1,0,0,3,5,8,0,1,0,1,2,4,0
0021900007,1610612763,MEM,Memphis,203998,,,,4.0,1,4,0,1,0,0,1,2,3,0,0,1,1,0,2,0
0021900007,1610612763,MEM,Memphis,1629001,,,,2.0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0
0021900007,1610612763,MEM,Memphis,203524,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900008,1610612755,PHI,Philadelphia,202699,,F,,37.0,6,11,2,5,1,2,1,14,15,4,2,0,4,3,15,0
0021900008,1610612755,PHI,Philadelphia,201143,,F,,31.0,5,13,1,6,5,6,1,1,2,3,1,0,1,5,16,0
0021900008,1610612755,PHI,Philadelphia,203954,,C,,23.0,5,14,1,4,4,8,4,9,13,3,0,3,0,5,15,0
0021900008,1610612755,PHI,Philadelphia,1626196,,G,,33.0,4,12,0,4,9,9,2,4,6,2,1,2,2,4,17,0
0021900008,1610612755,PHI,Philadelphia,1627732,,G,,34.0,11,16,0,0,2,5,2,6,8,9,0,0,4,4,24,0
0021900008,1610612755,PHI,Philadelphia,203516,,,,16.0,0,3,0,2,3,4,1,5,6,0,0,0,3,5,3,0
0021900008,1610612755,PHI,Philadelphia,1629680,,,,21.0,1,5,1,3,0,0,0,1,1,1,2,2,1,5,3,0
0021900008,1610612755,PHI,Philadelphia,1627788,,,,19.0,1,2,1,1,0,0,0,4,4,0,0,0,0,1,3,0
0021900008,1610612755,PHI,Philadelphia,203118,,,,16.0,2,7,0,3,2,2,1,5,6,1,0,0,0,2,6,0
0021900008,1610612755,PHI,Philadelphia,203124,,,,3.0,2,2,1,1,0,0,0,1,1,0,0,0,0,0,5,0
0021900008,1610612755,PHI,Philadelphia,1629003,,,,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0021900008,1610612755,PHI,Philadelphia,203526,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900008,1610612755,PHI,Philadelphia,203504,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
